pulocationid,trips,locationid,zone,borough,share
130,96950,130,Jamaica,Queens,0.011296939703546232
216,94748,216,South Ozone Park,Queens,0.011040355265926751
228,89834,228,Sunset Park West,Brooklyn,0.010467759477342674
215,79817,215,South Jamaica,Queens,0.009300544985228979
127,79730,127,Inwood,Manhattan,0.009290407452952463
76,77544,76,East New York,Brooklyn,0.009035687389084982
196,76736,196,Rego Park,Queens,0.008941536514608805
195,76032,195,Red Hook,Brooklyn,0.00885950406952065
217,75034,217,South Williamsburg,Brooklyn,0.008743213756739433
28,68496,28,Briarwood/Jamaica Hills,Queens,0.007981384032327002
219,61311,219,Springfield Gardens South,Queens,0.007144163694317928
62,57304,62,Crown Heights South,Brooklyn,0.00667725459280055
134,55844,134,Kew Gardens,Queens,0.006507130487930231
159,53643,159,Melrose South,Bronx,0.006250662573670248
197,52492,197,Richmond Hill,Queens,0.006116544186885496
14,52373,14,Bay Ridge,Brooklyn,0.00610267790710497
157,51377,157,Maspeth,Queens,0.005986620641042752
194,50482,194,Randalls Island,Manhattan,0.005882332234290056
69,50151,69,East Concourse/Concourse Village,Bronx,0.005843763002295483
39,49279,39,Canarsie,Brooklyn,0.005742154632811292
202,46507,202,Roosevelt Island,Manhattan,0.005419151880276685
35,44438,35,Brownsville,Brooklyn,0.005178065049470732
133,43623,133,Kensington,Brooklyn,0.005083098511478054
92,42972,92,Flushing,Queens,0.005007241804443411
54,42839,54,Columbia Street,Brooklyn,0.004991744197629881
190,42050,190,Prospect Park,Brooklyn,0.004899807266984209
56,40710,56,Corona,Queens,0.004743665965253916
177,39212,177,Ocean Hill,Brooklyn,0.004569113972722588
91,38474,91,Flatlands,Brooklyn,0.004483119733411426
72,36443,72,East Flatbush/Remsen Village,Brooklyn,0.004246460790266481
257,34361,257,Windsor Terrace,Brooklyn,0.004003859155787025
71,33081,71,East Flatbush/Farragut,Brooklyn,0.003854709255626745
119,32951,119,Highbridge,Bronx,0.003839561218891716
198,32840,198,Ridgewood,Queens,0.003826627125987192
235,30651,235,University Heights/Morris Heights,Bronx,0.0035715574920412124
85,30446,85,Erasmus,Brooklyn,0.0035476702033436676
173,28229,173,North Corona,Queens,0.0032893379153316822
213,28023,213,Soundview/Castle Hill,Bronx,0.0032653341032746375
165,27851,165,Midwood,Brooklyn,0.0032452920854405994
26,27211,26,Borough Park,Brooklyn,0.003170717135360459
51,27090,51,Co-Op City,Bronx,0.0031566178088609327
167,26311,167,Morrisania/Melrose,Bronx,0.003065846111810262
220,25783,220,Spuyten Duyvil/Kingsbridge,Bronx,0.003004321777994147
34,24974,34,Brooklyn Navy Yard,Brooklyn,0.0029100543801584694
55,24890,55,Coney Island,Brooklyn,0.0029002664179604513
135,24678,135,Kew Gardens Hills,Queens,0.0028755634657464044
205,24218,205,Saint Albans,Queens,0.002821962720376304
169,23571,169,Mount Hope,Bronx,0.0027465721067796624
218,22591,218,Springfield Gardens North,Queens,0.0026323792144694476
1,21723,1,Newark Airport,EWR,0.002531236938423257
254,21683,254,Williamsbridge/Olinville,Bronx,0.002526576004043249
242,21514,242,Van Nest/Morris Park,Bronx,0.0025068835562877118
182,20644,182,Parkchester,Bronx,0.0024055082335225214
210,20228,210,Sheepshead Bay,Brooklyn,0.00235703451597043
22,20068,22,Bensonhurst West,Brooklyn,0.002338390778450395
191,19648,191,Queens Village,Queens,0.002289450967460303
155,19476,155,Marine Park/Mill Basin,Brooklyn,0.0022694089496262653
222,19396,222,Starrett City,Brooklyn,0.0022600870808662478
136,19266,136,Kingsbridge Heights,Bronx,0.0022449390441312196
78,19044,78,East Tremont,Bronx,0.002219070858322171
123,18864,123,Homecrest,Brooklyn,0.0021980966536121315
47,18803,47,Claremont/Bathgate,Bronx,0.0021909887286826178
